"","Observation_number","Age","Emp_length","Rate","Class","Default","Cred_length","Scaled_Amount","Scaled_Income"
"6906",4250,22,0,7.37,0,0,2,0.333333333333333,0.00767244829886591
"6908",4251,23,2,12.21,0,0,2,0.159420289855072,0.0127763509006004
"6911",4252,22,6,12.53,0,0,2,0.0579710144927536,0.00767244829886591
"6913",4253,25,0,9.91,0,0,2,0.159420289855072,0.0130086724482989
"6915",4254,23,8,11.91,0,1,2,0.0434782608695652,0.00767244829886591
"6916",4255,26,2,13.87,0,1,4,0.304347826086957,0.00767244829886591
"6918",4256,23,5,6.99,0,0,3,0.159420289855072,0.0133422281521014
"6919",4257,21,5,5.99,0,0,2,0.0434782608695652,0.00767695130086724
"6920",4258,25,2,8.94,0,0,2,0.159420289855072,0.0133422281521014
"6921",4259,23,8,9.63,0,0,4,0.420289855072464,0.00768045363575717
"6922",4260,24,1,6.03,0,0,3,0.159420289855072,0.0135083388925951
"6925",4261,25,4,10,0,0,3,0.159420289855072,0.0135090060040027
"6927",4262,25,2,14.96,1,0,4,0.159420289855072,0.0115076717811875
"6928",4263,21,5,10,0,0,4,0.159420289855072,0.0136757838559039
"6929",4264,25,0,9.63,0,0,2,0.27536231884058,0.00771847898599066
"6931",4265,25,3,18.39,0,1,3,0.0144927536231884,0.00772181454302869
"6933",4266,22,6,6.03,0,0,3,0.159420289855072,0.00773248832555037
"6934",4267,23,7,7.51,0,0,2,0.228260869565217,0.00773849232821881
"6939",4268,24,8,13.92,0,1,3,0.159420289855072,0.0143048699132755
"6940",4269,25,9,13.49,0,0,4,0.159420289855072,0.014342895263509
"6942",4270,25,9,12.99,1,0,4,0.159420289855072,0.00673782521681121
"6943",4271,23,7,15.99,0,0,2,0.188405797101449,0.00773849232821881
"6945",4272,23,4,7.42,0,0,3,0.310144927536232,0.00773849232821881
"6946",4273,25,4,7.88,0,0,3,0.159420289855072,0.014342895263509
"6947",4274,23,3,10.25,0,0,3,0.159420289855072,0.014342895263509
"6948",4275,24,4,16.35,1,1,3,0.159420289855072,0.0126167444963309
"6949",4276,23,4,12.42,0,0,3,0.159420289855072,0.0146764509673115
"6950",4277,26,10,7.51,1,0,2,0.159420289855072,0.0128418945963976
"6952",4278,22,6,14.09,0,0,2,0.333333333333333,0.00773849232821881
"6954",4279,26,0,10.99,0,0,2,0.159420289855072,0.0151767845230153
"6955",4280,24,3,10.99,0,0,4,0.159420289855072,0.0151767845230153
"6956",4281,25,0,14.59,0,0,2,0.159420289855072,0.00773849232821881
"6957",4282,26,0,10.62,0,0,4,0.180434782608696,0.00773849232821881
"6958",4283,25,0,6.99,0,0,4,0.159420289855072,0.0153435623749166
"6959",4284,24,0,7.66,0,0,2,0.159420289855072,0.0154269513008672
"6960",4285,26,8,10.99,0,0,3,0.159420289855072,0.0156771180787191
"6962",4286,21,4,13.49,0,0,3,0.159420289855072,0.00774849899933289
"6964",4287,22,6,11.99,0,0,4,0.159420289855072,0.0160106737825217
"6965",4288,22,3,12.98,0,1,2,0.159420289855072,0.0160106737825217
"6968",4289,22,4,9.99,0,0,2,0.159420289855072,0.016844563042028
"6969",4290,22,6,11.83,0,0,2,0.159420289855072,0.00775517011340894
"6970",4291,22,6,8.94,1,0,4,0.159420289855072,0.0148432288192128
"6971",4292,22,6,11.99,0,0,4,0.159420289855072,0.0169279519679787
"6973",4293,23,8,10.83,0,0,4,0.202898550724638,0.00775650433622415
"6975",4294,25,3,7.51,0,0,2,0.072463768115942,0.00777184789859907
"6976",4295,26,8,6.76,0,0,4,0.217391304347826,0.00777985323549033
"6978",4296,24,0,10.99,0,0,3,0.159420289855072,0.019346230820547
"6979",4297,26,10,9.88,0,0,2,0.159420289855072,0.019346230820547
"6981",4298,26,2,11.36,0,0,4,0.159420289855072,0.0226817878585724
"6982",4299,25,3,13.48,0,0,2,0.159420289855072,0.0243495663775851
"6983",4300,22,2,9.63,0,0,4,0.27536231884058,0.00779686457638426
"6984",4301,26,0,10.99,0,0,3,0.160144927536232,0.0056704469646431
"6985",4302,23,7,9.63,0,0,4,0.160144927536232,0.00633755837224817
"6991",4303,25,3,11.46,1,0,3,0.163768115942029,0.00253502334889927
"6992",4304,24,1,11.03,0,1,3,0.163768115942029,0.0052890260173449
"6993",4305,24,0,14.27,1,1,2,0.293478260869565,0.00683789192795197
"6995",4306,23,5,6.03,0,0,2,0.101449275362319,0.00783855903935957
"6996",4307,23,7,6.03,0,0,3,0.27536231884058,0.00783855903935957
"6997",4308,23,1,19.82,1,0,3,0.165217391304348,0.00253502334889927
"6998",4309,26,11,9.99,0,0,3,0.246376811594203,0.00783855903935957
"6999",4310,26,9,5.99,1,0,4,0.165217391304348,0.00266844563042028
"7000",4311,23,7,5.42,0,0,4,0.159420289855072,0.00783855903935957
"7001",4312,24,2,14.11,1,0,4,0.165217391304348,0.00366911274182789
"7002",4313,22,3,8.49,0,0,3,0.27536231884058,0.00783855903935957
"7008",4314,23,1,13.92,0,0,2,0.165217391304348,0.0064209472981988
"7009",4315,22,7,13.79,0,0,3,0.165217391304348,0.00683789192795197
"7010",4316,23,2,7.49,0,0,3,0.217391304347826,0.00783855903935957
"7011",4317,26,2,5.99,0,0,4,0.101449275362319,0.00783855903935957
"7012",4318,22,5,12.42,0,0,3,0.165217391304348,0.00703802535023349
"7016",4319,23,2,7.49,0,0,3,0.0550724637681159,0.00783855903935957
"7020",4320,25,0,7.29,0,0,2,0.107246376811594,0.00783855903935957
"7021",4321,26,3,7.29,0,0,4,0.333333333333333,0.00783855903935957
"7026",4322,26,7,7.88,0,0,3,0.165217391304348,0.0108405603735824
"7027",4323,22,6,5.79,0,0,2,0.159420289855072,0.00783855903935957
"7028",4324,26,2,6.17,0,0,4,0.333333333333333,0.00783855903935957
"7029",4325,22,4,5.99,0,0,2,0.165217391304348,0.0113408939292862
"7030",4326,25,7,12.23,0,0,3,0.205797101449275,0.00783855903935957
"7031",4327,23,0,11.54,0,1,4,0.165942028985507,0.00683789192795197
"7033",4328,22,6,11.12,0,0,3,0.188405797101449,0.00783855903935957
"7037",4329,24,8,7.14,0,0,3,0.246376811594203,0.00783855903935957
"7039",4330,25,4,15.31,1,1,2,0.166666666666667,0.00253502334889927
"7041",4331,23,1,16.82,1,1,4,0.166666666666667,0.00254336224149433
"7042",4332,22,3,13.48,0,1,3,0.36231884057971,0.00783855903935957
"7045",4333,21,5,13.48,0,1,3,0.166666666666667,0.00316877918612408
"7046",4334,22,6,12.73,0,0,2,0.166666666666667,0.00316877918612408
"7047",4335,25,5,7.88,0,0,4,0.188405797101449,0.00783855903935957
"7048",4336,23,3,13.11,0,1,3,0.449275362318841,0.00783855903935957
"7051",4337,24,8,6.91,0,0,4,0.166666666666667,0.00366911274182789
"7052",4338,21,5,7.88,0,0,2,0.159420289855072,0.00783855903935957
"7053",4339,22,3,15.99,1,1,4,0.166666666666667,0.00383589059372915
"7054",4340,22,3,6.91,0,0,4,0.188405797101449,0.00850567044696464
"7055",4341,24,5,7.14,0,0,2,0.0898550724637681,0.00783855903935957
"7058",4342,24,9,15.31,0,1,2,0.27536231884058,0.00783855903935957
"7059",4343,26,3,7.74,0,0,3,0.27536231884058,0.00783855903935957
"7060",4344,22,0,11.36,0,0,2,0.188405797101449,0.00867244829886591
"7061",4345,21,3,15.31,1,1,3,0.217391304347826,0.00683789192795197
"7062",4346,24,7,8.59,0,0,3,0.188405797101449,0.00867244829886591
"7063",4347,24,4,8.94,0,0,3,0.231884057971014,0.00783855903935957
"7064",4348,26,4,9.07,0,0,3,0.188405797101449,0.00867244829886591
"7065",4349,25,2,15.57,1,0,3,0.188405797101449,0.00767178118745831
"7067",4350,23,0,13.04,0,1,4,0.188405797101449,0.00899933288859239
"7068",4351,23,3,13.85,1,0,4,0.188405797101449,0.00800533689126084
"7069",4352,24,5,10.96,0,0,3,0.217391304347826,0.00783855903935957
"7070",4353,26,9,13.49,0,0,2,0.188405797101449,0.00933955970647098
"7071",4354,24,8,12.99,0,1,4,0.0434782608695652,0.0078425617078052
"7072",4355,23,7,13.16,0,0,4,0.420289855072464,0.00784456304202802
"7073",4356,22,1,14.65,0,0,2,0.188405797101449,0.00933955970647098
"7074",4357,23,4,6.03,0,0,3,0.188405797101449,0.00933955970647098
"7075",4358,24,8,10.95,0,0,2,0.36231884057971,0.00785056704469646
"7076",4359,25,1,20.89,1,0,3,0.188405797101449,0.00833889259506338
"7077",4360,22,6,10.99,0,0,3,0.434782608695652,0.00786657771847899
"7078",4361,24,0,15.99,1,1,3,0.188405797101449,0.00833889259506338
"7080",4362,25,3,6.92,0,0,2,0.188405797101449,0.00933955970647098
"7081",4363,23,4,5.79,0,0,3,0.188405797101449,0.00933955970647098
"7085",4364,24,5,6.54,0,0,4,0.188405797101449,0.00933955970647098
"7086",4365,22,6,15.31,0,1,3,0.310144927536232,0.00788859239492995
"7087",4366,25,9,10.36,0,0,4,0.188405797101449,0.00933955970647098
"7089",4367,22,3,6.91,0,0,2,0.188405797101449,0.00933955970647098
"7092",4368,24,0,7.88,0,0,3,0.188405797101449,0.00933955970647098
"7093",4369,22,2,14.96,1,0,3,0.188405797101449,0.00833889259506338
"7094",4370,24,0,9.32,0,0,3,0.188405797101449,0.00933955970647098
"7095",4371,24,2,8.59,0,0,3,0.188405797101449,0.00936290860573716
"7097",4372,22,4,11.83,0,0,2,0.072463768115942,0.00791861240827218
"7099",4373,25,2,10.38,0,0,4,0.385507246376812,0.007920613742495
"7100",4374,22,3,12.84,0,0,2,0.188405797101449,0.00942294863242161
"7103",4375,23,5,9.91,0,0,4,0.188405797101449,0.00967311541027352
"7106",4376,24,6,7.51,0,0,2,0.101449275362319,0.00792194796531021
"7107",4377,22,6,9.88,0,0,3,0.202898550724638,0.00792194796531021
"7108",4378,25,9,7.49,0,0,4,0.188405797101449,0.00967311541027352
"7110",4379,23,4,10.65,0,0,3,0.194202898550725,0.00793862575050033
"7111",4380,26,4,14.84,0,0,2,0.188405797101449,0.00983989326217478
"7112",4381,22,6,5.79,0,0,3,0.188405797101449,0.0100066711140761
"7113",4382,22,6,10.59,0,0,3,0.107246376811594,0.00793862575050033
"7114",4383,23,1,10.59,0,0,3,0.130434782608696,0.00793862575050033
"7115",4384,23,7,11.86,0,0,3,0.188405797101449,0.0101067378252168
"7117",4385,22,4,14.27,0,1,4,0.188405797101449,0.0101734489659773
"7118",4386,22,2,12.98,0,1,2,0.188405797101449,0.00793862575050033
"7119",4387,22,7,15.99,0,0,3,0.188405797101449,0.0101734489659773
"7121",4388,22,0,12.99,0,0,2,0.188405797101449,0.0101734489659773
"7125",4389,23,7,10.75,0,0,4,0.188405797101449,0.0101734489659773
"7126",4390,25,2,10.37,0,0,4,0.333333333333333,0.00795013342228152
"7127",4391,25,9,15.99,0,0,4,0.101449275362319,0.00795263509006004
"7130",4392,21,1,9.99,0,0,3,0.130434782608696,0.00797198132088059
"7131",4393,24,0,11.83,0,0,2,0.188405797101449,0.0101734489659773
"7132",4394,23,0,8.59,0,0,2,0.27536231884058,0.00798065376917945
"7133",4395,23,0,10.71,0,0,2,0.188405797101449,0.0101734489659773
"7135",4396,22,5,11.49,0,0,2,0.394202898550725,0.00798865910607071
"7136",4397,23,2,7.66,0,0,3,0.188405797101449,0.0103402268178786
"7139",4398,24,3,7.49,0,0,3,0.188405797101449,0.00800466977985323
"7141",4399,24,8,7.51,1,0,4,0.188405797101449,0.00933955970647098
"7142",4400,21,1,8.49,0,0,2,0.507246376811594,0.00800466977985323
"7143",4401,26,8,8.49,0,0,3,0.507246376811594,0.00800466977985323
"7144",4402,23,3,6.92,0,0,3,0.130434782608696,0.00800466977985323
"7147",4403,25,9,12.68,1,0,2,0.304347826086957,0.00700400266844563
"7148",4404,26,3,8.9,0,0,2,0.188405797101449,0.0105987324883255
"7149",4405,23,3,6.62,0,0,4,0.188405797101449,0.0106324216144096
"7150",4406,22,6,12.98,0,1,4,0.228985507246377,0.00800466977985323
"7151",4407,23,2,12.53,0,0,4,0.188405797101449,0.010790527018012
"7152",4408,25,7,10.78,0,1,3,0.188405797101449,0.010923949299533
"7156",4409,22,6,7.88,0,0,4,0.159420289855072,0.00800466977985323
"7157",4410,25,8,7.29,0,0,4,0.188405797101449,0.0110667111407605
"7158",4411,22,7,10.75,0,0,2,0.159420289855072,0.00800466977985323
"7160",4412,23,0,7.9,0,0,2,0.188405797101449,0.0113408939292862
"7162",4413,26,8,9.32,0,0,2,0.188405797101449,0.0113408939292862
"7163",4414,23,0,17.04,1,0,4,0.188405797101449,0.0103982655103402
"7164",4415,21,2,13.16,1,1,4,0.478260869565217,0.00700400266844563
"7165",4416,25,4,14.84,0,1,2,0.188405797101449,0.0114576384256171
"7168",4417,26,0,8.9,0,0,4,0.188405797101449,0.01184122748499
"7169",4418,25,4,7.49,0,0,2,0.188405797101449,0.01184122748499
"7170",4419,24,2,10.74,0,0,3,0.188405797101449,0.01184122748499
"7171",4420,23,5,12.69,1,0,4,0.260869565217391,0.00700466977985324
"7172",4421,22,5,10.99,0,0,2,0.188405797101449,0.01184122748499
"7174",4422,23,0,6.54,0,0,2,0.188405797101449,0.011974649766511
"7175",4423,22,6,11.12,0,0,2,0.188405797101449,0.0120080053368913
"7176",4424,22,5,7.9,0,0,4,0.159420289855072,0.00800533689126084
"7177",4425,24,2,6.03,0,0,3,0.188405797101449,0.0123915943962642
"7178",4426,24,2,11.71,0,0,3,0.507246376811594,0.00800533689126084
"7180",4427,22,4,6.62,0,0,3,0.188405797101449,0.0126751167444963
"7183",4428,23,1,7.14,0,0,2,0.188405797101449,0.0126751167444963
"7187",4429,24,8,10,0,0,4,0.188405797101449,0.0130086724482989
"7189",4430,23,0,14.96,1,0,4,0.188405797101449,0.0120080053368913
"7190",4431,23,7,7.51,0,0,2,0.623188405797101,0.00800533689126084
"7191",4432,26,6,13.49,0,1,3,0.188405797101449,0.0131754503002001
"7192",4433,23,7,8.9,0,0,2,0.228985507246377,0.00800533689126084
"7193",4434,21,1,12.42,0,0,2,0.368115942028986,0.00800533689126084
"7197",4435,23,6,6.92,0,0,2,0.188405797101449,0.0132148098732488
"7198",4436,21,5,7.9,0,0,3,0.130434782608696,0.00800533689126084
"7199",4437,25,3,9.25,1,0,3,0.188405797101449,0.010390260173449
"7202",4438,21,5,5.99,0,0,2,0.369565217391304,0.00800533689126084
"7208",4439,24,0,10.99,0,0,2,0.166666666666667,0.00416944629753169
"7210",4440,25,1,15.96,0,1,3,0.166666666666667,0.00418945963975984
"7211",4441,26,8,9.99,1,0,3,0.188405797101449,0.00700466977985324
"7213",4442,25,5,10.99,1,0,3,0.159420289855072,0.00700466977985324
"7214",4443,23,3,8.9,0,0,4,0.166666666666667,0.0057371581054036
"7215",4444,26,10,8.49,0,0,3,0.217391304347826,0.00800533689126084
"7218",4445,21,2,11.71,0,0,3,0.168115942028985,0.00433622414943296
"7220",4446,22,2,8.88,0,0,3,0.188405797101449,0.014342895263509
"7221",4447,24,8,12.99,1,1,2,0.828985507246377,0.00700466977985324
"7222",4448,22,0,13.99,0,1,3,0.565217391304348,0.00800533689126084
"7223",4449,22,6,12.99,0,1,3,0.0623188405797101,0.00800533689126084
"7225",4450,25,1,6.99,0,0,2,0.188405797101449,0.0151767845230153
"7228",4451,26,2,7.91,0,0,4,0.188405797101449,0.0155103402268179
"7229",4452,26,2,7.49,0,0,3,0.188405797101449,0.0158605737158105
"7230",4453,26,10,9.99,0,0,3,0.188405797101449,0.0161507671781187
"7231",4454,24,6,5.79,0,0,2,0.246376811594203,0.00800533689126084
"7233",4455,24,1,7.51,0,0,2,0.188405797101449,0.0176784523015344
"7236",4456,23,7,8,0,0,3,0.188405797101449,0.0178452301534356
"7237",4457,24,8,7.29,0,0,4,0.405797101449275,0.00800533689126084
"7238",4458,22,0,7.66,0,0,2,0.188405797101449,0.0185456971314209
"7240",4459,22,6,13.06,0,0,3,0.268115942028986,0.00800533689126084
"7241",4460,26,10,15.65,0,1,4,0.130434782608696,0.00800533689126084
"7242",4461,24,5,8.49,0,0,2,0.188405797101449,0.0190126751167445
"7244",4462,23,1,10.75,0,0,2,0.188405797101449,0.019346230820547
"7245",4463,25,7,7.66,0,0,2,0.159420289855072,0.00800533689126084
"7246",4464,25,9,6.17,0,0,3,0.695652173913043,0.00800533689126084
"7247",4465,26,3,9.63,0,0,4,0.188405797101449,0.0243495663775851
"7249",4466,26,10,9.62,0,0,2,0.297101449275362,0.00800533689126084
"7251",4467,23,0,14.35,0,0,4,0.168115942028985,0.00433622414943296
"7254",4468,26,10,10.99,0,0,3,0.168115942028985,0.00550366911274183
"7255",4469,21,0,6.99,0,0,3,0.168115942028985,0.0064216144096064
"7258",4470,24,0,13.98,0,1,2,0.0202898550724638,0.00800533689126084
"7259",4471,24,9,7.88,1,0,4,0.333333333333333,0.00700466977985324
"7260",4472,25,5,7.88,0,0,3,0.333333333333333,0.00800533689126084
"7261",4473,22,5,14.35,0,0,2,0.072463768115942,0.00800533689126084
"7262",4474,25,9,7.51,0,0,2,0.168115942028985,0.00842278185456971
"7263",4475,24,6,14.91,1,1,2,0.168115942028985,0.00911440960640427
"7264",4476,25,5,7.88,0,0,3,0.168115942028985,0.0133422281521014
"7265",4477,25,3,8.9,0,0,4,0.168840579710145,0.00350233488992662
"7266",4478,26,5,10.65,0,0,4,0.168840579710145,0.00850567044696464
"7267",4479,22,2,7.51,0,0,3,0.168840579710145,0.00937291527685123
"7268",4480,23,1,12.92,1,1,3,0.169565217391304,0.0117436624416278
"7271",4481,23,2,10.75,0,0,4,0.159420289855072,0.00800533689126084
"7274",4482,22,1,10.99,1,0,2,0.173913043478261,0.00266844563042028
"7275",4483,24,8,13.85,0,1,4,0.333333333333333,0.00800533689126084
"7276",4484,21,6,11.89,1,0,4,0.173913043478261,0.00283522348232155
"7280",4485,26,2,9.88,0,0,4,0.27536231884058,0.00800533689126084
"7281",4486,26,6,6.76,0,0,4,0.173913043478261,0.00800533689126084
"7282",4487,24,8,10.62,0,0,4,0.101449275362319,0.00800533689126084
"7286",4488,24,7,11.36,0,0,3,0.211594202898551,0.00800533689126084
"7287",4489,24,8,10.99,0,0,3,0.130434782608696,0.00800533689126084
"7288",4490,21,1,12.53,0,0,2,0.173913043478261,0.00333555703802535
"7289",4491,26,4,14.09,1,1,2,0.173913043478261,0.00350233488992662
"7290",4492,24,3,6.76,0,0,3,0.0869565217391304,0.00800533689126084
"7292",4493,26,0,9.99,0,0,4,0.173913043478261,0.00360173448965977
"7293",4494,24,8,10.99,0,0,4,0.228985507246377,0.00800533689126084
"7294",4495,25,0,16.7,1,1,4,0.557971014492754,0.00700466977985324
"7295",4496,22,0,12.53,1,0,3,0.217391304347826,0.00700466977985324
"7296",4497,23,1,11.14,0,0,2,0.27536231884058,0.00800533689126084
"7297",4498,24,8,7.4,0,0,2,0.130434782608696,0.00800533689126084
"7298",4499,26,7,7.51,0,0,3,0.173913043478261,0.00400266844563042
"7299",4500,24,0,10.99,0,0,3,0.173913043478261,0.00433622414943296
"7301",4501,22,0,7.05,0,0,2,0.072463768115942,0.00800533689126084
"7302",4502,22,2,8.32,0,0,3,0.173913043478261,0.00450300200133422
"7303",4503,26,2,14.22,0,1,2,0.173913043478261,0.00466977985323549
"7304",4504,23,0,7.88,0,0,4,0.173913043478261,0.00466977985323549
"7306",4505,22,4,6.17,0,0,4,0.173913043478261,0.00483655770513676
"7310",4506,22,6,8.59,0,0,2,0.12463768115942,0.00800533689126084
"7311",4507,21,1,12.87,0,0,4,0.449275362318841,0.00800533689126084
"7315",4508,26,0,11.89,0,0,2,0.0898550724637681,0.00800533689126084
"7316",4509,25,3,9.32,0,0,2,0.159420289855072,0.00800533689126084
"7317",4510,26,10,9.63,0,0,3,0.072463768115942,0.00800533689126084
"7320",4511,22,1,13.22,1,1,3,0.173913043478261,0.00500333555703803
"7321",4512,26,7,10.51,0,0,3,0.0898550724637681,0.00800533689126084
"7322",4513,25,1,11.89,0,0,4,0.173913043478261,0.00600400266844563
"7325",4514,24,8,8.32,0,0,2,0.130434782608696,0.00800533689126084
"7326",4515,22,0,11.34,0,1,4,0.171014492753623,0.00800533689126084
"7327",4516,22,2,15.95,1,0,2,0.173913043478261,0.0052243162108072
"7328",4517,20,4,11.71,0,0,2,0.173913043478261,0.00633755837224817
"7330",4518,23,4,17.49,1,1,2,0.173913043478261,0.00533689126084056
"7331",4519,22,2,5.99,0,0,2,0.173913043478261,0.00633755837224817
"7332",4520,23,2,10.37,0,0,3,0.173913043478261,0.00633755837224817
"7333",4521,25,5,11.89,0,0,2,0.036231884057971,0.00803202134756504
"7334",4522,23,3,10.59,0,0,3,0.202898550724638,0.00803468979319546
"7337",4523,23,7,10.96,0,0,3,0.173913043478261,0.00679186124082722
"7338",4524,21,3,10.74,0,0,2,0.173913043478261,0.00683789192795197
"7340",4525,22,6,12.86,1,1,4,0.420289855072464,0.00705803869246164
"7342",4526,22,0,12.69,1,0,4,0.260869565217391,0.00708805870580387
"7343",4527,22,3,10.65,0,0,4,0.101449275362319,0.00808872581721147
"7345",4528,22,6,15.23,0,0,3,0.217391304347826,0.00808872581721147
"7348",4529,21,5,13.98,0,0,4,0.173913043478261,0.00857304869913275
"7349",4530,22,2,10.95,0,0,3,0.173913043478261,0.00917278185456971
"7350",4531,26,0,9.63,0,0,2,0.427536231884058,0.00808872581721147
"7351",4532,25,9,5.79,0,0,4,0.188405797101449,0.00808872581721147
"7352",4533,22,3,9.25,0,0,2,0.173913043478261,0.00933955970647098
"7353",4534,25,4,7.88,0,0,4,0.246376811594203,0.00808872581721147
"7355",4535,22,7,11.86,0,0,2,0.173913043478261,0.00987508338892595
"7358",4536,25,9,12.69,1,0,3,0.0434782608695652,0.00711224149432955
"7359",4537,23,6,13.23,0,0,3,0.173913043478261,0.0110073382254837
"7360",4538,25,5,7.74,0,0,2,0.173913043478261,0.011440960640427
"7366",4539,23,2,7.51,0,0,2,0.217391304347826,0.00813542361574383
"7371",4540,25,4,11.89,0,0,4,0.173913043478261,0.0133422281521014
"7373",4541,25,7,12.98,0,1,4,0.173913043478261,0.0135583722481654
"7374",4542,25,0,5.42,1,0,4,0.159420289855072,0.00713809206137425
"7375",4543,22,5,10.99,0,0,2,0.101449275362319,0.00813875917278186
"7377",4544,24,1,9.88,0,0,3,0.173913043478261,0.0146264176117412
"7378",4545,23,0,8,0,0,2,0.173913043478261,0.0146764509673115
"7380",4546,24,8,8.49,0,0,2,0.173913043478261,0.0151767845230153
"7383",4547,24,8,7.88,0,0,4,0.101449275362319,0.00813875917278186
"7384",4548,22,6,13.98,0,1,3,0.159420289855072,0.00813875917278186
"7386",4549,23,2,8,0,0,4,0.176086956521739,0.00683789192795197
"7387",4550,24,8,6.99,0,0,3,0.176086956521739,0.0136757838559039
"7388",4551,24,0,12.68,1,1,4,0.176811594202899,0.00293529019346231
"7389",4552,26,0,12.87,1,0,4,0.130434782608696,0.00713809206137425
"7392",4553,24,2,13.06,1,0,2,0.176811594202899,0.00433622414943296
"7393",4554,22,6,10.33,0,0,2,0.176811594202899,0.00433689126084056
"7394",4555,23,6,7.49,0,0,3,0.176811594202899,0.00513675783855904
"7395",4556,26,0,8.59,0,0,4,0.176811594202899,0.00517011340893929
"7396",4557,25,1,11.49,0,0,4,0.176811594202899,0.00533689126084056
"7397",4558,25,4,9.91,0,0,3,0.194202898550725,0.00817211474316211
"7399",4559,25,4,6.62,0,0,3,0.159420289855072,0.00817211474316211
"7400",4560,26,3,13.85,0,1,4,0.176811594202899,0.0061707805203469
"7401",4561,26,1,8,0,0,2,0.176811594202899,0.0061707805203469
"7402",4562,25,2,10.65,0,0,4,0.176811594202899,0.00633755837224817
"7403",4563,22,0,16.89,1,0,3,0.176811594202899,0.00631054036024016
"7404",4564,23,3,11.11,0,0,2,0.176811594202899,0.00733822548365577
"7405",4565,26,2,9.91,0,0,2,0.0579710144927536,0.00817211474316211
"7406",4566,23,8,7.49,0,0,3,0.176811594202899,0.00800533689126084
"7407",4567,24,8,6.03,0,0,2,0.217391304347826,0.00817211474316211
"7408",4568,25,9,6.62,1,0,2,0.333333333333333,0.0071714476317545
"7409",4569,22,6,15.27,0,1,4,0.0144927536231884,0.00817211474316211
"7412",4570,26,10,14.65,0,0,4,0.318840579710145,0.00817211474316211
"7414",4571,22,0,10.59,0,0,2,0.176811594202899,0.00933955970647098
"7416",4572,22,4,10.99,0,0,2,0.176811594202899,0.00933955970647098
"7417",4573,26,3,6.03,0,0,4,0.0666666666666667,0.00817211474316211
"7419",4574,26,10,5.99,0,0,4,0.333333333333333,0.00817211474316211
"7420",4575,22,0,7.49,0,0,3,0.131159420289855,0.00817211474316211
"7421",4576,23,3,12.84,0,1,3,0.176811594202899,0.0110073382254837
"7422",4577,26,3,9.99,0,0,2,0.159420289855072,0.00817211474316211
"7424",4578,25,9,10.99,0,0,2,0.176811594202899,0.0163237158105404
"7425",4579,25,9,13.49,0,1,3,0.344202898550725,0.00817211474316211
"7428",4580,25,0,8.63,1,0,3,0.177536231884058,0.00153435623749166
"7429",4581,23,7,6.03,1,0,3,0.177536231884058,0.00213475650433622
"7430",4582,21,2,13.06,1,0,2,0.177536231884058,0.00400266844563042
"7432",4583,26,8,12.92,0,0,2,0.177536231884058,0.00400266844563042
"7434",4584,22,6,5.42,0,0,3,0.130434782608696,0.00817211474316211
"7435",4585,24,3,11.22,0,0,2,0.177536231884058,0.00767178118745831
"7436",4586,24,8,14.91,0,0,4,0.27536231884058,0.00817211474316211
"7437",4587,24,3,11.22,0,1,4,0.177536231884058,0.0088559039359573
"7439",4588,24,2,12.69,0,0,2,0.178260869565217,0.00867244829886591
"7442",4589,22,0,7.66,1,0,4,0.179710144927536,0.00133422281521014
"7444",4590,23,0,13.8,0,1,3,0.179710144927536,0.00350166777851901
"7445",4591,22,4,14.46,0,1,4,0.176811594202899,0.00817211474316211
"7453",4592,23,5,15.23,0,1,2,0.179710144927536,0.0135090060040027
"7454",4593,23,7,14.35,1,1,3,0.449275362318841,0.0071714476317545
"7455",4594,22,6,7.14,0,0,4,0.210144927536232,0.00817211474316211
"7457",4595,22,4,16.07,0,1,4,0.217391304347826,0.00817211474316211
"7460",4596,25,2,17.27,1,0,2,0.181159420289855,0.00633755837224817
"7461",4597,25,9,7.9,0,0,4,0.181884057971014,0.01184122748499
"7462",4598,26,8,10.25,0,0,2,0.449275362318841,0.00817211474316211
"7464",4599,23,6,8.9,0,0,3,0.182608695652174,0.00393595730486991
"7465",4600,22,7,10.62,0,0,3,0.0507246376811594,0.00817211474316211
"7466",4601,22,3,8.49,0,0,3,0.182608695652174,0.00396931287525017
"7467",4602,24,8,6.76,0,0,2,0.0826086956521739,0.00817211474316211
"7468",4603,25,8,9.63,0,0,3,0.182608695652174,0.00413609072715143
"7469",4604,22,1,10.59,0,0,2,0.182608695652174,0.00418945963975984
"7470",4605,22,6,17.39,0,0,3,0.27536231884058,0.00817211474316211
"7471",4606,24,2,21.74,1,1,3,0.182608695652174,0.00441961307538359
"7472",4607,22,6,7.14,0,0,2,0.182608695652174,0.00550366911274183
"7473",4608,22,7,7.4,0,0,3,0.0579710144927536,0.00817211474316211
"7477",4609,24,2,7.68,0,0,3,0.182608695652174,0.00568912608405604
"7478",4610,24,0,14.42,0,0,3,0.194202898550725,0.00817211474316211
"7480",4611,21,1,5.79,0,0,3,0.182608695652174,0.00683789192795197
"7483",4612,23,3,10.65,1,0,2,0.182608695652174,0.00714676450967312
"7484",4613,22,0,10.39,0,0,2,0.101449275362319,0.00817211474316211
"7485",4614,26,4,9.91,0,0,4,0.182608695652174,0.00817211474316211
"7487",4615,24,6,10.65,0,0,4,0.594202898550725,0.00817278185456971
"7488",4616,25,3,5.42,0,0,2,0.12463768115942,0.00817278185456971
